"TYPE","DESC","FDESC"
1,Core inside of a census metropolitan area or census agglomeration,Noyau à l'intérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
2,Fringe inside of a census metropolitan area or census agglomeration,Banlieue à l'intérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
3,Rural area inside of a census metropolitan area or census agglomeration,Région rurale à l'intérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
4,Population centre outside of a census metropolitan area or census agglomeration,Centre de population à l'extérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
5,Rural area outside of a census metropolitan area or census agglomeration,Région rurale à l'extérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
6,Secondary core inside of a census metropolitan area or census agglomeration,Noyau secondaire à l'intérieur d'une région métropolitaine de recensement ou d'une agglomération de recensement
