"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"121574",,"Howie Centre","2","2",1106.00,501.00,490.00,1733.00,1157.00,503.00,500.00,"1.6702","1","0","0","12",,"225"
"121578",,"Indian Brook 14","2","2",2332.00,965.00,949.00,,655.00,221.00,214.00,"3.8913","1","0","0","12",,"205"
"130045",,"Bathurst","1","2",15985.00,8360.00,7631.00,15557.00,15867.00,8209.00,7398.00,"27.915","1","0","0","13",,"328"
"130105",,"Bouctouche","4","2",1944.00,936.00,860.00,1722.00,1845.00,950.00,854.00,"4.8285","1","0","0","13",,
"130122",,"Campbellton","1","2",8833.00,4474.00,4156.00,8780.00,8790.00,4366.00,4010.00,"17.8032","1","0","0","13",,"330"
"130134",,"Caraquet","4","2",3190.00,1579.00,1490.00,3108.00,3185.00,1528.00,1444.00,"7.7219","1","0","0","13",,
"130214",,"Dalhousie","4","2",2372.00,1276.00,1150.00,2351.00,2351.00,1294.00,1145.00,"2.5576","0","0","0","13",,
"130253",,"Edmundston","1","2",13125.00,6629.00,6260.00,12086.00,12945.00,6452.00,6034.00,"19.061","1","0","0","13",,"335"
"130305",,"Fredericton","1","3",64614.00,30406.00,28989.00,59405.00,61014.00,29490.00,26994.00,"89.6047","1","0","0","13",,"320"
"130331",,"Grand Falls / Grand-Sault","4","2",4349.00,2262.00,2127.00,4221.00,4490.00,2260.00,2117.00,"7.1746","1","0","0","13",,
"130350",,"Hampton","2","2",3499.00,1421.00,1370.00,3436.00,3436.00,1336.00,1298.00,"7.7274","0","0","0","13",,"310"
"130539",,"Moncton","1","4",119785.00,54519.00,51830.00,108620.00,109075.00,51406.00,47420.00,"110.7279","1","0","0","13",,"305"
"130612",,"Oromocto","4","2",8585.00,3708.00,3483.00,8805.00,8810.00,3713.00,3283.00,"10.0022","1","0","0","13",,
"130732",,"Sackville","4","2",3798.00,2085.00,1758.00,2963.00,3053.00,1961.00,1378.00,"5.9984","1","0","0","13",,
