"TYPE","DESC","FDESC"
CDR,Census division,Division de recensement
CT,County,Comté
CTY,County,County
DIS,District,District
DM,District municipality,District municipality
MRC,Municipalité régionale de comté,Municipalité régionale de comté
RD,Regional district,Regional district
REG,Region,Région
RM,Regional municipality,Regional municipality
TER,Territory,Territoire
TÉ,Territoire équivalent,Territoire équivalent
UC,United counties,United counties
