"CMAPuid","CMAPdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"35501",,"Cornwall","0",61415,27797,26798,59699,59699,26936,26082,"509.2145","0","0","0","35","501","D",
"35502","2021S050635502","Hawkesbury (Ontario part / partie de l'Ontario)","1",10194,5308,5080,10263,10263,5231,4956,"10.0963","0","0","0","35","502","D","24"
"35505","2021S050535505","Ottawa - Gatineau (Ontario part / partie de l'Ontario)","1",1135014,474806,453579,991726,1039150,438476,414627,"4665.1591","1","0","0","35","505","B","24"
"35512",,"Brockville","0",31661,15117,14438,38553,31200,14814,14003,"576.8673","1","0","0","35","512","D",
"35515",,"Pembroke","0",23814,10765,10257,23269,23269,10562,9915,"553.4027","0","0","0","35","515","D",
"35516",,"Petawawa","0",18160,7174,6762,17187,17187,6747,6334,"164.6985","0","0","0","35","516","D",
"35521",,"Kingston","0",172546,80955,73506,161175,161175,77173,67915,"1919.1686","0","0","0","35","521","B",
"35522",,"Belleville - Quinte West","0",111184,48274,46213,103472,103401,45023,42979,"1337.4982","1","0","0","35","522","B",
"35527",,"Cobourg","0",20519,9520,9134,19440,19440,8958,8639,"22.4072","0","0","0","35","527","D",
"35528",,"Port Hope","0",17294,7607,7318,16753,16753,7305,7075,"278.8012","0","0","0","35","528","D",
"35529",,"Peterborough","0",128624,57761,53370,121721,121721,55662,50533,"1508.4421","0","0","0","35","529","B",
"35530",,"Kawartha Lakes","0",79247,38947,32708,75423,75423,38444,31106,"3033.6568","0","0","0","35","530","D",
"35531",,"Centre Wellington","0",31093,12701,11972,28191,28191,11499,10823,"409.4129","0","0","0","35","531","D",
"35532",,"Oshawa","0",415311,153565,149047,379848,379848,142462,138962,"903.2512","0","0","0","35","532","B",
"35533",,"Ingersoll","0",13693,5627,5467,12757,12757,5192,5088,"12.7337","0","0","0","35","533","D",
"35535",,"Toronto","0",6202225,2394205,2262473,5928040,5928040,2235145,2135909,"5902.7499","0","0","0","35","535","B",
"35537",,"Hamilton","0",785184,320081,307382,747545,747545,306034,293345,"1373.146","0","0","0","35","537","B",
"35539",,"St. Catharines - Niagara","0",433604,190878,179224,406074,406074,180606,168485,"1397.0882","0","0","0","35","539","B",
"35541",,"Kitchener - Cambridge - Waterloo","0",575847,229809,219060,523894,523894,210896,200495,"1092.3295","0","0","0","35","541","B",
"35543",,"Brantford","0",144162,58047,56003,134203,134203,54419,52530,"1074.0011","0","1","1","35","543","B",
"35544",,"Woodstock","0",46705,19528,18886,40902,41098,17601,17221,"56.4607","1","0","0","35","544","D",
"35546",,"Tillsonburg","0",18615,8494,8229,15872,15872,7297,7127,"22.1987","0","0","0","35","546","D",
"35547",,"Norfolk","0",67490,30085,27594,64044,64044,28720,26007,"1597.6846","0","0","0","35","547","D",
"35550",,"Guelph","0",165588,67685,64175,151984,151984,63324,59280,"595.0842","0","0","0","35","550","B",
"35553",,"Stratford","0",33232,15388,14743,31465,31470,14304,13849,"30.021","1","0","0","35","553","D",
"35555",,"London","0",543551,235522,222239,494069,494069,220452,206448,"2661.4818","0","0","0","35","555","B",
"35556",,"Chatham-Kent","0",104316,46921,44178,102042,102042,46287,43174,"2464.5232","0","0","0","35","556","D",
"35559",,"Windsor","0",422630,174072,165665,329144,398718,168187,158960,"1803.1734","1","0","0","35","559","B",
"35562",,"Sarnia","0",97592,45210,42581,96151,96151,44252,41989,"1117.1968","0","0","0","35","562","K",
"35563",,"Essa","0",22970,8232,7949,,21083,7478,7179,"279.9161","1","0","0","35","563","D",
"35565",,"Wasaga Beach","0",24862,13768,10811,20675,20675,12516,9005,"57.4219","0","0","0","35","565","D",
"35566",,"Owen Sound","0",32712,15675,14390,31820,31820,15167,13888,"624.176","0","0","0","35","566","D",
"35567",,"Collingwood","0",24811,13216,11174,21793,21793,11617,9556,"33.1546","0","0","0","35","567","D",
"35568",,"Barrie","0",212856,82649,78540,197059,197059,76336,72534,"897.2559","0","0","0","35","568","B",
"35569",,"Orillia","0",33411,15428,14422,31166,31166,14287,13477,"28.5299","0","0","0","35","569","D",
"35571",,"Midland","0",27894,12652,11825,35859,25826,11729,11053,"60.7517","1","0","0","35","571","D",
"35575",,"North Bay","0",71736,34049,31182,70378,70378,33696,30124,"5314.852","0","0","0","35","575","K",
"35580",,"Greater Sudbury / Grand Sudbury","0",170605,78225,73387,164689,165958,77437,71018,"4187.3969","1","0","0","35","580","B",
"35582",,"Elliot Lake","0",11372,6275,5839,10741,10741,6259,5514,"696.0556","0","0","0","35","582","D",
"35586",,"Timmins","0",41145,19390,17886,41788,41788,19317,17740,"2955.3257","0","0","0","35","586","D",
"35590",,"Sault Ste. Marie","0",76731,37101,34416,78159,78159,36769,34530,"802.5786","0","1","1","35","590","K",
"35595",,"Thunder Bay","0",123258,57877,54212,121621,121621,57146,52545,"2550.7877","0","0","0","35","595","B",
"35598",,"Kenora","0",14967,7637,6510,15096,15096,7376,6475,"211.6536","0","0","0","35","598","D",
"46602",,"Winnipeg","0",834678,347144,330326,778489,783099,323105,308105,"5285.4554","1","0","0","46","602","B",
"46603",,"Winkler","0",32655,11755,11363,30297,30297,10539,10264,"872.1924","0","0","0","46","603","D",
"46605",,"Steinbach","0",17806,7092,6836,15829,16022,6359,6076,"37.5551","1","0","0","46","605","D",
"46607",,"Portage la Prairie","0",13270,6109,5644,13304,13304,5794,5576,"24.7206","0","0","0","46","607","D",
"46610",,"Brandon","0",54268,23674,22283,58003,51807,22639,21351,"1232.8141","1","0","0","46","610","D",
"46640",,"Thompson","0",13035,5442,4676,13678,13678,5482,4910,"16.6198","0","0","0","46","640","D",
"47705",,"Regina","0",249217,108120,100211,236481,236695,101823,95047,"4323.6641","1","0","0","47","705","B",
"47710",,"Yorkton","0",19859,9114,8424,18905,19927,8985,8397,"1623.3177","1","0","0","47","710","D",
"47715",,"Moose Jaw","0",34872,16700,15215,35053,35053,16390,15010,"843.4351","0","0","0","47","715","D",
"47720",,"Swift Current","0",18745,8669,7949,18536,18536,8393,7854,"1129.7761","0","0","0","47","720","D",
"47725",,"Saskatoon","0",317480,134720,125100,295095,295095,124766,115283,"5864.4799","0","0","0","47","725","B",
