"CTuid","CTdguid","CTname","CTpop_2021","CTtdwell_2021","CTurdwell_2021","CTpop_2016","CTpop_2016a","CTtdwell_2016a","CTurdwell_2016a","CTarea","CTadj","CTir_2016","CTir_2021","PRuid","CMAcode","CTcode"
"0010202.07","2021S05070010202.07","0202.07",4573,1989,1831,,4519,1925,1757,"1.8013","1","0","0","10","001","6431"
"0010202.08","2021S05070010202.08","0202.08",4557,1825,1730,,4074,1638,1527,"6.1697","1","0","0","10","001","6432"
"0010202.09","2021S05070010202.09","0202.09",2945,1197,1129,,2664,1108,1025,"4.7436","1","0","0","10","001","6433"
"0010202.10","2021S05070010202.10","0202.10",6647,2656,2531,,6095,2462,2283,"12.9266","1","0","0","10","001","6434"
"0010300.01","2021S05070010300.01","0300.01",4627,1960,1861,,4617,1925,1802,"5.3349","1","0","0","10","001","6435"
"0010300.02","2021S05070010300.02","0300.02",3073,1222,1170,,3024,1159,1090,"3.4557","1","0","0","10","001","6436"
"0010301.01","2021S05070010301.01","0301.01",7075,2954,2800,6673,6673,2715,2562,"21.955","0","0","0","10","001","3052"
"0010301.02","2021S05070010301.02","0301.02",6823,2852,2652,6667,6667,2651,2502,"11.3809","0","0","0","10","001","3053"
"0010302.00","2021S05070010302.00","0302.00",5570,2376,2228,5218,5218,2103,1978,"17.5973","0","0","0","10","001","2466"
"0010400.00","2021S05070010400.00","0400.00",2471,1089,993,,2463,1106,975,"126.0157","1","0","0","10","001","7036"
"2050001.00","2021S05072050001.00","0001.00",4123,1691,1633,3868,3868,1658,1566,"5.7029","0","0","0","12","205","0030"
"2050002.00","2021S05072050002.00","0002.00",8358,3575,3434,6194,6194,2942,2729,"11.5181","0","0","0","12","205","0031"
"2050003.00","2021S05072050003.00","0003.00",2885,1401,1266,2955,2955,1401,1191,"2.3648","0","0","0","12","205","0032"
"2050004.01","2021S05072050004.01","0004.01",4045,2874,2603,3466,3466,2659,2239,"0.4814","0","0","0","12","205","4327"
"2050004.02","2021S05072050004.02","0004.02",5466,3516,3131,4771,4771,3310,2770,"0.482","0","0","0","12","205","4328"
"2050005.00","2021S05072050005.00","0005.00",1813,740,671,1808,1808,731,655,"0.7688","0","0","0","12","205","0034"
"2050006.00","2021S05072050006.00","0006.00",3553,1811,1478,3129,3129,1800,1289,"1.054","0","0","0","12","205","0035"
"2050007.00","2021S05072050007.00","0007.00",1947,1250,1088,1859,1859,1362,1119,"1.1604","0","0","0","12","205","0036"
"2050008.00","2021S05072050008.00","0008.00",5203,3461,2888,2778,2778,2069,1573,"0.5039","0","0","0","12","205","0037"
"2050009.00","2021S05072050009.00","0009.00",2875,1869,1666,2357,2357,1535,1328,"0.6349","0","0","0","12","205","0038"
"2050010.00","2021S05072050010.00","0010.00",6019,3459,3195,5036,5036,3290,2802,"0.8344","0","0","0","12","205","0039"
"2050011.00","2021S05072050011.00","0011.00",6013,2941,2745,5631,5631,2912,2564,"0.8075","0","0","0","12","205","0040"
"2050012.00","2021S05072050012.00","0012.00",2901,1484,1221,2482,2482,1236,1021,"0.5182","0","0","0","12","205","0041"
"2050013.00","2021S05072050013.00","0013.00",2630,1149,1093,2561,2561,1167,1087,"0.8049","0","0","0","12","205","0042"
"2050014.00","2021S05072050014.00","0014.00",4390,2091,2000,4248,4248,2047,1947,"1.8375","0","0","0","12","205","0043"
"2050015.00","2021S05072050015.00","0015.00",5389,2733,2624,4829,4829,2575,2425,"2.0422","0","0","0","12","205","0044"
"2050016.00","2021S05072050016.00","0016.00",4021,1854,1772,3766,3766,1838,1707,"2.5626","0","0","0","12","205","0045"
"2050017.00","2021S05072050017.00","0017.00",2999,1305,1258,2914,2914,1275,1201,"2.9121","0","0","0","12","205","0046"
"2050018.00","2021S05072050018.00","0018.00",3758,2021,1961,3544,3544,1986,1869,"1.3969","0","0","0","12","205","0047"
"2050019.00","2021S05072050019.00","0019.00",5126,2603,2480,5062,5062,2658,2501,"0.8907","0","0","0","12","205","0048"
"2050020.00","2021S05072050020.00","0020.00",3602,1969,1839,2562,2562,1127,1009,"0.9985","0","0","0","12","205","0049"
"2050021.00","2021S05072050021.00","0021.00",3544,1738,1658,3314,3314,1729,1612,"0.8769","0","0","0","12","205","0050"
"2050022.00","2021S05072050022.00","0022.00",5581,3055,2899,5301,5301,3053,2730,"2.8331","0","0","0","12","205","0051"
"2050023.00","2021S05072050023.00","0023.00",5208,2410,2303,4594,4594,2374,2119,"1.537","0","0","0","12","205","0052"
"2050024.00","2021S05072050024.00","0024.00",8618,4282,4102,7375,7375,3804,3557,"2.1807","0","0","0","12","205","0053"
"2050025.01","2021S05072050025.01","0025.01",5201,2260,2192,4726,4726,2252,2069,"1.0497","0","0","0","12","205","3054"
"2050025.02","2021S05072050025.02","0025.02",5515,2793,2689,4863,4863,2604,2416,"1.913","0","0","0","12","205","3055"
"2050025.04","2021S05072050025.04","0025.04",4818,2360,2311,,4685,2483,2376,"0.9106","1","0","0","12","205","6454"
"2050025.05","2021S05072050025.05","0025.05",3746,2086,2031,,3547,1968,1938,"1.5556","1","0","0","12","205","6455"
"2050026.02","2021S05072050026.02","0026.02",4855,2158,2089,3409,3409,1597,1543,"1.5085","0","0","0","12","205","6029"
"2050026.03","2021S05072050026.03","0026.03",3348,1404,1363,3358,3358,1393,1367,"1.3928","0","0","0","12","205","1431"
"2050026.04","2021S05072050026.04","0026.04",4346,1960,1920,4199,4199,1952,1911,"0.6535","0","0","0","12","205","1441"
"2050026.05","2021S05072050026.05","0026.05",3866,1654,1624,3967,3967,1548,1531,"0.7713","0","0","0","12","205","1443"
"2050027.00","2021S05072050027.00","0027.00",10379,4736,4584,7362,7362,3656,3385,"4.4978","0","0","0","12","205","0056"
"2050100.00","2021S05072050100.00","0100.00",4352,2255,2151,3855,3855,1877,1724,"5.8395","0","0","0","12","205","0057"
"2050101.00","2021S05072050101.00","0101.00",3476,1850,1791,3343,3343,1849,1719,"1.6719","0","0","0","12","205","0058"
"2050102.00","2021S05072050102.00","0102.00",4979,2823,2653,4623,4623,2660,2413,"1.3203","0","0","0","12","205","0059"
"2050103.00","2021S05072050103.00","0103.00",4281,2029,1965,4228,4228,1994,1936,"1.8929","0","0","0","12","205","0060"
"2050104.01","2021S05072050104.01","0104.01",1976,910,891,2015,2015,907,877,"1.2449","0","0","0","12","205","3056"
"2050104.03","2021S05072050104.03","0104.03",3116,1317,1281,,2943,1120,1107,"2.3453","1","0","0","12","205","6448"
"2050104.04","2021S05072050104.04","0104.04",2628,1021,1009,,2549,1013,1006,"0.9999","1","0","0","12","205","6449"
"2050104.05","2021S05072050104.05","0104.05",2862,1303,1277,,3030,1314,1282,"1.4998","1","0","0","12","205","6450"
"2050105.01","2021S05072050105.01","0105.01",3129,1345,1322,3082,3082,1344,1299,"1.1907","0","0","0","12","205","3058"
"2050105.02","2021S05072050105.02","0105.02",4569,1800,1775,4613,4613,1798,1781,"2.1065","0","0","0","12","205","3059"
"2050106.01","2021S05072050106.01","0106.01",3758,1668,1594,3538,3538,1662,1490,"1.5598","0","0","0","12","205","6030"
"2050106.02","2021S05072050106.02","0106.02",5117,2006,1973,5106,5106,1975,1939,"8.9623","0","0","0","12","205","6031"
"2050107.00","2021S05072050107.00","0107.00",3166,1398,1363,3000,3000,1351,1305,"1.5383","0","0","0","12","205","0064"
"2050108.00","2021S05072050108.00","0108.00",4859,2420,2361,4769,4769,2416,2311,"2.2694","0","0","0","12","205","0065"
"2050109.00","2021S05072050109.00","0109.00",3316,1825,1753,3200,3200,1827,1691,"1.2668","0","0","0","12","205","0066"
"2050110.00","2021S05072050110.00","0110.00",1819,1125,1024,1481,1481,1002,838,"0.8052","0","0","0","12","205","0067"
"2050111.00","2021S05072050111.00","0111.00",3328,1944,1864,3132,3132,1932,1782,"0.9707","0","0","0","12","205","0068"
"2050112.00","2021S05072050112.00","0112.00",2505,1396,1330,2014,2014,1270,1090,"1.6459","0","0","0","12","205","0069"
"2050113.00","2021S05072050113.00","0113.00",1397,571,564,1317,1317,578,518,"3.0519","0","0","0","12","205","0070"
"2050114.00","2021S05072050114.00","0114.00",7506,4144,3983,6569,6569,4152,3726,"18.1564","0","0","0","12","205","0071"
"2050120.00","2021S05072050120.00","0120.00",2251,953,926,2196,2196,915,870,"23.4665","0","0","0","12","205","2467"
"2050121.02","2021S05072050121.02","0121.02",3144,1298,1276,3131,3131,1303,1279,"1.6441","0","0","0","12","205","3061"
"2050121.03","2021S05072050121.03","0121.03",1927,753,729,1890,1890,721,702,"17.8113","0","0","0","12","205","4330"
"2050121.05","2021S05072050121.05","0121.05",5102,2058,1995,4583,4583,1884,1803,"16.5611","0","0","0","12","205","6032"
"2050121.06","2021S05072050121.06","0121.06",5643,2200,2163,5624,5624,2147,2094,"6.5082","0","0","0","12","205","6033"
"2050121.08","2021S05072050121.08","0121.08",3499,1229,1216,3606,3606,1233,1233,"1.5707","0","0","0","12","205","6035"
"2050121.09","2021S05072050121.09","0121.09",208,130,124,203,203,123,120,"0.188","0","0","0","12","205","3896"
"2050121.10","2021S05072050121.10","0121.10",5335,1935,1915,5174,5174,1893,1848,"6.8535","0","0","0","12","205","3903"
"2050122.01","2021S05072050122.01","0122.01",3169,1352,1330,3191,3191,1357,1343,"1.4588","0","0","0","12","205","4331"
"2050122.03","2021S05072050122.03","0122.03",3217,1356,1330,3262,3262,1358,1309,"38.754","0","0","0","12","205","4333"
"2050122.04","2021S05072050122.04","0122.04",4126,1558,1538,4189,4189,1561,1544,"3.5045","0","0","0","12","205","1444"
"2050122.05","2021S05072050122.05","0122.05",3296,1402,1380,3191,3191,1360,1322,"1.199","0","0","0","12","205","1447"
"2050123.01","2021S05072050123.01","0123.01",2267,938,905,2142,2142,900,850,"45.0972","0","0","0","12","205","4334"
"2050123.02","2021S05072050123.02","0123.02",4046,1633,1571,3970,3970,1627,1534,"13.0705","0","0","0","12","205","4335"
"2050123.05","2021S05072050123.05","0123.05",3725,1590,1556,3634,3634,1593,1526,"1.9388","0","0","0","12","205","6037"
"2050123.06","2021S05072050123.06","0123.06",2725,1147,1108,2801,2801,1145,1122,"1.6992","0","0","0","12","205","6038"
"2050123.07","2021S05072050123.07","0123.07",3817,1876,1791,,3735,1877,1733,"1.6535","1","0","0","12","205","6456"
"2050123.08","2021S05072050123.08","0123.08",2538,1035,1011,,2806,1179,1136,"0.7649","1","0","0","12","205","6457"
