TYPE,DESC,FDESC
0,"Territories, classification is not applicable","Territoires, la classification ne s'applique pas"
001-995,CMA or CA,RMR ou AR
996,Strong MIZ,Forte
997,Moderate MIZ,Modérée
998,Weak MIZ,Faible
999,No influence,Aucune influence
