facility_name,facility_name_norm,city,sactype_value,CSDuid,CSDname
University Health Network - Princess Margaret Hospital,UNIVERSITY HEALTH NETWORK PRINCESS MARGARET HOSPITAL,toronto,1,3520005,Toronto
University Health Network - Toronto General Hospital,UNIVERSITY HEALTH NETWORK TORONTO GENERAL HOSPITAL,toronto,1,3520005,Toronto
University Health Network - Toronto Western Hospital,UNIVERSITY HEALTH NETWORK TORONTO WESTERN HOSPITAL,toronto,1,3520005,Toronto
Waypoint Centre for Mental Health Care,WAYPOINT CENTRE FOR MENTAL HEALTH CARE,penetanguishene,3,3543072,Penetanguishene
Weeneebayko Area Health Authority - Attawapiskat,WEENEEBAYKO AREA HEALTH AUTHORITY ATTAWAPISKAT,moose factory,6,3560051,Attawapiskat 91A
Weeneebayko Area Health Authority - Moosonee,WEENEEBAYKO AREA HEALTH AUTHORITY MOOSONEE,moosonee,7,3556106,Moosonee
Weeneebayko General Hospital,WEENEEBAYKO GENERAL HOSPITAL,moose factory,6,3556092,"Cochrane, Unorganized, North Part"
Weenusk First Nation,WEENUSK FIRST NATION,peawanuck,7,3560091,Peawanuck
Wellington Health Care Alliance - Palmerston and District Hospital,WELLINGTON HEALTH CARE ALLIANCE PALMERSTON AND DISTRICT HOSPITAL,palmerston,5,3523043,Minto
West Haldimand General Hospital,WEST HALDIMAND GENERAL HOSPITAL,hagersville,4,3528018,Haldimand County
West Lincoln Memorial Hospital,WEST LINCOLN MEMORIAL HOSPITAL,grimsby,1,3526065,Grimsby
West Park Healthcare Centre,WEST PARK HEALTHCARE CENTRE,toronto,1,3520005,Toronto
West Parry Sound Health Centre,WEST PARRY SOUND HEALTH CENTRE,parry sound,6,3549032,Parry Sound
William Osler Health System - Brampton Civic Hospital,WILLIAM OSLER HEALTH SYSTEM BRAMPTON CIVIC HOSPITAL,brampton,1,3521010,Brampton
William Osler Health System - Etobicoke,WILLIAM OSLER HEALTH SYSTEM ETOBICOKE,etobicoke,1,3520005,Toronto
William Osler Health System - Peel Memorial,WILLIAM OSLER HEALTH SYSTEM PEEL MEMORIAL,brampton,1,3521010,Brampton
Wilson Memorial General Hospital,WILSON MEMORIAL GENERAL HOSPITAL,marathon,6,3558059,Marathon
Winchester District Memorial Hospital,WINCHESTER DISTRICT MEMORIAL HOSPITAL,winchester,4,3501030,North Dundas
Windsor Regional Hospital - Mary Vale,WINDSOR REGIONAL HOSPITAL MARY VALE,windsor,1,3537039,Windsor
Windsor Regional Hospital - Metropolitan Campus,WINDSOR REGIONAL HOSPITAL METROPOLITAN CAMPUS,windsor,1,3537039,Windsor
Windsor Regional Hospital - Ouellette Campus,WINDSOR REGIONAL HOSPITAL OUELLETTE CAMPUS,windsor,1,3537039,Windsor
Windsor Regional Hospital - Western Campus,WINDSOR REGIONAL HOSPITAL WESTERN CAMPUS,windsor,1,3537039,Windsor
Woodstock General Hospital,WOODSTOCK GENERAL HOSPITAL,woodstock,3,3532042,Woodstock
r. s. Mclaughlin Durham Regional Cancer Centre,R S MCLAUGHLIN DURHAM REGIONAL CANCER CENTRE,oshawa,1,3518013,Oshawa
the Ottawa Hospital - Civic Campus,THE OTTAWA HOSPITAL CIVIC CAMPUS,ottawa,1,3506008,Ottawa
the Ottawa Hospital - Riverside Campus,THE OTTAWA HOSPITAL RIVERSIDE CAMPUS,ottawa,1,3506008,Ottawa
the Scarborough Hospital - General Campus,THE SCARBOROUGH HOSPITAL GENERAL CAMPUS,scarborough,1,3520005,Toronto
the Scarborough Hospital - Grace Campus,THE SCARBOROUGH HOSPITAL GRACE CAMPUS,scarborough,1,3520005,Toronto
the University of Ottawa Heart Institute,THE UNIVERSITY OF OTTAWA HEART INSTITUTE,ottawa,1,3506008,Ottawa
the West Nipissing General Hospital,THE WEST NIPISSING GENERAL HOSPITAL,sturgeon falls,5,3548055,West Nipissing / Nipissing Ouest
