facility_name,facility_name_norm,city,sactype_value,CSDuid,CSDname
Haliburton Highlands Health Services - Haliburton Hospital,HALIBURTON HIGHLANDS HEALTH SERVICES HALIBURTON HOSPITAL,haliburton,5,3546024,Dysart et al
Haliburton Highlands Health Services - Minden,HALIBURTON HIGHLANDS HEALTH SERVICES MINDEN,minden,5,3546015,Minden Hills
Halton Healthcare Services - Oakville,HALTON HEALTHCARE SERVICES OAKVILLE,oakville,1,3524001,Oakville
Halton Healthcare Services Corporation - Milton Site,HALTON HEALTHCARE SERVICES CORPORATION MILTON SITE,milton,1,3524009,Milton
Hamilton Health Sciences - Hamilton General Hospital,HAMILTON HEALTH SCIENCES HAMILTON GENERAL HOSPITAL,hamilton,1,3525005,Hamilton
Hamilton Health Sciences - Juravinski Hospital,HAMILTON HEALTH SCIENCES JURAVINSKI HOSPITAL,hamilton,1,3525005,Hamilton
Hamilton Health Sciences - Mcmaster,HAMILTON HEALTH SCIENCES MCMASTER,hamilton,1,3525005,Hamilton
Hamilton Health Sciences - St. Peter's Hospital,HAMILTON HEALTH SCIENCES ST PETER S HOSPITAL,hamilton,1,3525005,Hamilton
Hamilton Health Sciences - Ucc,HAMILTON HEALTH SCIENCES UCC,hamilton,1,3525005,Hamilton
Hanover and District Hospital,HANOVER AND DISTRICT HOSPITAL,hanover,5,3542029,Hanover
Headwaters Health Care Centre - Headwaters Orangeville,HEADWATERS HEALTH CARE CENTRE HEADWATERS ORANGEVILLE,orangeville,1,3522014,Orangeville
Health Sciences North - Ramsey Lake Health Centre,HEALTH SCIENCES NORTH RAMSEY LAKE HEALTH CENTRE,sudbury,1,3553005,Greater Sudbury / Grand Sudbury
Holland Bloorview Kids Rehabilitation Hospital,HOLLAND BLOORVIEW KIDS REHABILITATION HOSPITAL,toronto,1,3520005,Toronto
Homewood Health Centre,HOMEWOOD HEALTH CENTRE,guelph,1,3523008,Guelph
Hornepayne Community Hospital,HORNEPAYNE COMMUNITY HOSPITAL,hornepayne,6,3557096,Hornepayne
Hospital for Sick Children,HOSPITAL FOR SICK CHILDREN,toronto,1,3520005,Toronto
Hotel Dieu Hospital - Religious Hospitallers of Saint Joseph of the Hotel Dieu of Kingston,HOTEL DIEU HOSPITAL RELIGIOUS HOSPITALLERS OF SAINT JOSEPH OF THE HOTEL DIEU OF KINGSTON,kingston,1,3510010,Kingston
Hotel Dieu Hospital of Cornwall,HOTEL DIEU HOSPITAL OF CORNWALL,cornwall,3,3501012,Cornwall
Hotel Dieu Shaver Health & Rehabilitation Centre,HOTEL DIEU SHAVER HEALTH REHABILITATION CENTRE,st catharines,1,3526053,St. Catharines
Humber River Hospital,HUMBER RIVER HOSPITAL,toronto,1,3520005,Toronto
Humber River Hospital -York Finch,HUMBER RIVER HOSPITAL YORK FINCH,toronto,1,3520005,Toronto
Humber River Regional Hospital - Church St. Site,HUMBER RIVER REGIONAL HOSPITAL CHURCH ST SITE,weston,1,3520005,Toronto
Humber River Regional Hospital - Keele Street Site,HUMBER RIVER REGIONAL HOSPITAL KEELE STREET SITE,toronto,1,3520005,Toronto
Huron Perth Healthcare Alliance - Clinton Public Hospital,HURON PERTH HEALTHCARE ALLIANCE CLINTON PUBLIC HOSPITAL,clinton,5,3540025,Central Huron
Huron Perth Healthcare Alliance - Seaforth Community Hospital,HURON PERTH HEALTHCARE ALLIANCE SEAFORTH COMMUNITY HOSPITAL,seaforth,5,3540040,Huron East
Huron Perth Healthcare Alliance - St. Marys Memorial Hospital,HURON PERTH HEALTHCARE ALLIANCE ST MARYS MEMORIAL HOSPITAL,st marys,4,3531016,St. Marys
Huronia District Hospital,HURONIA DISTRICT HOSPITAL,midland,3,3543074,Midland
HÔPITAL GENERAL DE HAWKESBURY AND DISTRICT GENERAL HOSPITAL INC.,H PITAL GENERAL DE HAWKESBURY AND DISTRICT GENERAL HOSPITAL INC,hawkesbury,3,3502008,Hawkesbury
HÔPITAL GLENGARRY MEMORIAL HOSPITAL,H PITAL GLENGARRY MEMORIAL HOSPITAL,alexandria,5,3501050,North Glengarry
HÔPITAL MONTFORT HOSPITAL,H PITAL MONTFORT HOSPITAL,ottawa,1,3506008,Ottawa
HÔPITAL ÉLISABETH BRUYÈRE HOSPITAL,H PITAL LISABETH BRUY RE HOSPITAL,ottawa,1,3506008,Ottawa
James Bay General Hospital - Attawapiskat,JAMES BAY GENERAL HOSPITAL ATTAWAPISKAT,attawapiskat,6,3560051,Attawapiskat 91A
James Bay General Hospital - Fort Albany,JAMES BAY GENERAL HOSPITAL FORT ALBANY,fort albany,6,3556092,"Cochrane, Unorganized, North Part"
Joseph Brant Memorial Hospital,JOSEPH BRANT MEMORIAL HOSPITAL,burlington,1,3524002,Burlington
Kashechewan First Nation,KASHECHEWAN FIRST NATION,kashechewan,7,3556106,Moosonee
Kemptville District Hospital,KEMPTVILLE DISTRICT HOSPITAL,kemptville,1,3507065,North Grenville
Kingston General Hospital,KINGSTON GENERAL HOSPITAL,kingston,1,3510010,Kingston
Kirkland and District Hospital,KIRKLAND AND DISTRICT HOSPITAL,kirkland lake,6,3554068,Kirkland Lake
Lady Dunn Health Centre,LADY DUNN HEALTH CENTRE,wawa,6,3557076,Wawa
Lady Minto Hospital,LADY MINTO HOSPITAL,cochrane,6,3556042,Cochrane
Lake of the Woods District Hospital,LAKE OF THE WOODS DISTRICT HOSPITAL,kenora,3,3560010,Kenora
Lakeridge Health - Bowmanville,LAKERIDGE HEALTH BOWMANVILLE,bowmanville,1,3518017,Clarington
Lakeridge Health - Oshawa,LAKERIDGE HEALTH OSHAWA,oshawa,1,3518013,Oshawa
Lakeridge Health - Port Perry,LAKERIDGE HEALTH PORT PERRY,port perry,4,3518020,Scugog
Lakeridge Health - Whitby,LAKERIDGE HEALTH WHITBY,whitby,1,3518009,Whitby
Lakeridge Health Ajax Pickering Hospital,LAKERIDGE HEALTH AJAX PICKERING HOSPITAL,ajax,1,3518005,Ajax
Laverendrye General Hospital,LAVERENDRYE GENERAL HOSPITAL,fort frances,6,3559012,Fort Frances
Leamington District Memorial Hospital,LEAMINGTON DISTRICT MEMORIAL HOSPITAL,leamington,1,3537003,Leamington
Lennox and Addington County General Hospital,LENNOX AND ADDINGTON COUNTY GENERAL HOSPITAL,napanee,4,3511015,Greater Napanee
Listowel Wingham Hospitals Alliance - Listowel Memorial Hospital,LISTOWEL WINGHAM HOSPITALS ALLIANCE LISTOWEL MEMORIAL HOSPITAL,listowel,5,3531040,North Perth
Listowel Wingham Hospitals Alliance - Wingham and District Hospital,LISTOWEL WINGHAM HOSPITALS ALLIANCE WINGHAM AND DISTRICT HOSPITAL,wingham,6,3540055,North Huron
London Health Sciences Centre - South Street Site,LONDON HEALTH SCIENCES CENTRE SOUTH STREET SITE,london,1,3539036,London
London Health Sciences Centre - University Campus,LONDON HEALTH SCIENCES CENTRE UNIVERSITY CAMPUS,london,1,3539036,London
London Health Sciences Centre - Victoria,LONDON HEALTH SCIENCES CENTRE VICTORIA,london,1,3539036,London
Mackenzie Health — Reactivation Care Centre Finch,MACKENZIE HEALTH REACTIVATION CARE CENTRE FINCH,toronto,NA,NA,Toronto
Mackenzie Richmond Hill Hospital,MACKENZIE RICHMOND HILL HOSPITAL,richmond hill,1,3519038,Richmond Hill
Manitoulin Health Centre - Little Current Site,MANITOULIN HEALTH CENTRE LITTLE CURRENT SITE,little current,5,3551017,Northeastern Manitoulin and the Islands
Manitoulin Health Centre - Mindemoya,MANITOULIN HEALTH CENTRE MINDEMOYA,mindemoya,6,3551006,Central Manitoulin
Manitouwadge General Hospital,MANITOUWADGE GENERAL HOSPITAL,manitouwadge,6,3558066,Manitouwadge
Markham Stouffville Hospital,MARKHAM STOUFFVILLE HOSPITAL,markham,1,3519036,Markham
Markham Stouffville Hospital - Uxbridge Site,MARKHAM STOUFFVILLE HOSPITAL UXBRIDGE SITE,uxbridge,1,3518029,Uxbridge
Markham Stouffville Hospital — Reactivation Care Centre Finch,MARKHAM STOUFFVILLE HOSPITAL REACTIVATION CARE CENTRE FINCH,toronto,NA,NA,Toronto
Mattawa General Hospital Inc.,MATTAWA GENERAL HOSPITAL INC,mattawa,5,3556014,Black River-Matheson
Matthews Memorial Hospital,MATTHEWS MEMORIAL HOSPITAL,richards landing,4,3557008,St. Joseph
Mount Sinai Hospital,MOUNT SINAI HOSPITAL,toronto,1,3520005,Toronto
Muskoka Algonquin Healthcare - Huntsville District Memorial Hospital Site,MUSKOKA ALGONQUIN HEALTHCARE HUNTSVILLE DISTRICT MEMORIAL HOSPITAL SITE,huntsville,5,3544018,Bracebridge
Niagara Health System - Douglas Memorial Hospital,NIAGARA HEALTH SYSTEM DOUGLAS MEMORIAL HOSPITAL,fort erie,1,3526003,Fort Erie
Niagara Health System - Greater Niagara General Site,NIAGARA HEALTH SYSTEM GREATER NIAGARA GENERAL SITE,niagara falls,1,3526043,Niagara Falls
Niagara Health System - Niagara-on-the-Lake Hospital Site,NIAGARA HEALTH SYSTEM NIAGARA ON THE LAKE HOSPITAL SITE,niagara-on-the-lake,1,3526047,Niagara-on-the-Lake
Niagara Health System - Port Colborne General Site,NIAGARA HEALTH SYSTEM PORT COLBORNE GENERAL SITE,port colborne,1,3526011,Port Colborne
Niagara Health System - St. Catharines,NIAGARA HEALTH SYSTEM ST CATHARINES,st catharines,1,3526053,St. Catharines
Niagara Health System - St. Catharines General Site,NIAGARA HEALTH SYSTEM ST CATHARINES GENERAL SITE,st catharines,1,3526053,St. Catharines
Nipigon District Memorial Hospital,NIPIGON DISTRICT MEMORIAL HOSPITAL,nipigon,5,3558044,Nipigon
Norfolk General Hospital,NORFOLK GENERAL HOSPITAL,simcoe,3,3528052,Norfolk County
North Bay General Hospital - Mclaren Site,NORTH BAY GENERAL HOSPITAL MCLAREN SITE,north bay,2,3548044,North Bay
North Bay Regional Health Centre,NORTH BAY REGIONAL HEALTH CENTRE,north bay,2,3548044,North Bay
North Bay Regional Health Centre - Kirkwood,NORTH BAY REGIONAL HEALTH CENTRE KIRKWOOD,sudbury,1,3553005,Greater Sudbury / Grand Sudbury
North Wellington Health Care - Louise Marshall Hospital,NORTH WELLINGTON HEALTH CARE LOUISE MARSHALL HOSPITAL,mount forest,5,3523050,Wellington North
North York General Hospital - Branson Division,NORTH YORK GENERAL HOSPITAL BRANSON DIVISION,north york,1,3520005,Toronto
North York General Hospital - General Division,NORTH YORK GENERAL HOSPITAL GENERAL DIVISION,north york,1,3520005,Toronto
North York General Hospital — Reactivation Care Centre Finch,NORTH YORK GENERAL HOSPITAL REACTIVATION CARE CENTRE FINCH,toronto,NA,NA,Toronto
North of Superior Healthcare Group - Mccausland Hospital,NORTH OF SUPERIOR HEALTHCARE GROUP MCCAUSLAND HOSPITAL,terrace bay,6,3558054,Terrace Bay
Northumberland Hills Hospital,NORTHUMBERLAND HILLS HOSPITAL,cobourg,3,3514021,Cobourg
Notre-Dame Hospital - Hearst,NOTRE DAME HOSPITAL HEARST,hearst,6,3556076,Hearst
Ongwanada Hospital,ONGWANADA HOSPITAL,kingston,1,3510010,Kingston
Ontario Shores Centre for Mental Health Sciences,ONTARIO SHORES CENTRE FOR MENTAL HEALTH SCIENCES,whitby,1,3518009,Whitby
Orillia Soldiers' Memorial Hospital,ORILLIA SOLDIERS MEMORIAL HOSPITAL,orillia,3,3543052,Orillia
Pembroke Regional Hospital,PEMBROKE REGIONAL HOSPITAL,pembroke,3,3547064,Pembroke
Perth and Smiths Falls District Hospital,PERTH AND SMITHS FALLS DISTRICT HOSPITAL,smiths falls,5,3509010,Drummond/North Elmsley
Perth and Smiths Falls District Hospital - Perth,PERTH AND SMITHS FALLS DISTRICT HOSPITAL PERTH,perth,5,3509021,Perth
Peterborough Regional Health Centre,PETERBOROUGH REGIONAL HEALTH CENTRE,peterborough,1,3515014,Peterborough
Providence Care - Mental Health Services,PROVIDENCE CARE MENTAL HEALTH SERVICES,kingston,1,3510010,Kingston
Queensway Carleton Hospital,QUEENSWAY CARLETON HOSPITAL,ottawa,1,3506008,Ottawa
Quinte Health Care - North Hastings District Hospital,QUINTE HEALTH CARE NORTH HASTINGS DISTRICT HOSPITAL,bancroft,5,3512061,Bancroft
Quinte Health Care - Prince Edward County Memorial Hospital,QUINTE HEALTH CARE PRINCE EDWARD COUNTY MEMORIAL HOSPITAL,picton,4,3513020,Prince Edward County
Quinte Healthcare Corporation - Trenton Memorial Hospital,QUINTE HEALTHCARE CORPORATION TRENTON MEMORIAL HOSPITAL,trenton,1,3512015,Quinte West
Red Lake Margaret Cochenour Memorial Hospital,RED LAKE MARGARET COCHENOUR MEMORIAL HOSPITAL,red lake,6,3560042,Red Lake
Regional Mental Health Care - London,REGIONAL MENTAL HEALTH CARE LONDON,london,1,3539036,London
Renfrew Victoria Hospital,RENFREW VICTORIA HOSPITAL,renfrew,5,3547048,Renfrew
Ross Memorial Hospital,ROSS MEMORIAL HOSPITAL,kawartha lakes,3,3516010,Kawartha Lakes
Royal Ottawa Health Care Group - Brockville Mental Health Centre,ROYAL OTTAWA HEALTH CARE GROUP BROCKVILLE MENTAL HEALTH CENTRE,brockville,3,3507014,Elizabethtown-Kitley
Royal Ottawa Mental Health Centre,ROYAL OTTAWA MENTAL HEALTH CENTRE,ottawa,1,3506008,Ottawa
